"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2","go","genename"
"Rdx",1117.20136732568,0.516448498662872,0.155375709899196,3.32386895608026,0.000887779017533324,0.00548307303132184,830,1015,1321,1342,"GO:0001726","radixin"
"Fam82b",103.667919504827,-1.19536117265185,0.359667105894579,-3.32352098109917,0.000888887359483176,0.00548366558387315,125,166,73,54,NA,NA
"Zcchc2",897.65505862125,-0.540103453612903,0.162508108094191,-3.32354772907612,0.000888802118489514,0.00548366558387315,925,1220,745,736,"GO:0003674","zinc finger, CCHC domain containing 2"
"Plxnc1",12789.3625479032,0.415628383758703,0.12506346140502,3.32333983954502,0.000889464824513289,0.00548410497663771,9716,12329,14885,14706,"GO:0007162","plexin C1"
"Btla",1080.29281719579,0.552728468145248,0.166336874453171,3.32294609936812,0.00089072123691165,0.00548872762199312,717,1062,1350,1248,"GO:0002250","B and T lymphocyte associated"
"Rybp",289.977651068876,0.782547582306789,0.235525519763758,3.32255962365232,0.000891956068327672,0.00549321210244097,182,249,318,429,"GO:0000122","RING1 and YY1 binding protein"
"D830031N03Rik",139.950606963589,-1.02116803835427,0.307371555436232,-3.32225939679093,0.000892916420324609,0.005496002034873,153,228,97,90,"GO:0003674","RIKEN cDNA D830031N03 gene"
"Tmem181b-ps",317.123210057793,-0.840205838923333,0.252956456739765,-3.32154335869637,0.000895210720471767,0.00550699473871133,426,373,238,221,NA,"transmembrane protein 181B, pseudogene"
"Exoc5",608.536799632477,0.63003167772841,0.189705669782421,3.32110093731522,0.000896631038915608,0.00551260161439999,416,547,798,695,"GO:0000145","exocyst complex component 5"
"Cct7",497.543998467198,0.624630789886546,0.188160650909735,3.31966745898534,0.000901247336810001,0.0055344690499129,335,456,578,647,"GO:0000166","chaperonin containing Tcp1, subunit 7 (eta)"
"Ms4a4c",996.011846096099,0.593856165153443,0.17889815395105,3.31952092315013,0.00090172047199264,0.0055344690499129,594,1035,1170,1261,"GO:0003674","membrane-spanning 4-domains, subfamily A, member 4C"
"Zfp329",310.919701650666,-0.787417202362566,0.237204780173477,-3.31956717645697,0.000901571104369216,0.0055344690499129,298,509,237,225,"GO:0003676","zinc finger protein 329"
"Zfp74",98.7881402597363,-1.18474965751914,0.357150833673907,-3.31722495319964,0.000909163829593874,0.0055769942049776,118,159,65,57,"GO:0003676","zinc finger protein 74"
"Tnrc18",812.835129310939,-0.548737261022628,0.165458126115335,-3.31647211234655,0.000911616851373111,0.00558887682565077,861,1080,622,718,"GO:0000785","trinucleotide repeat containing 18"
"Slc24a1",69.8722563405285,1.60880893683642,0.485210995442035,3.31568936390399,0.000914173825409138,0.00560138294720429,32,37,143,67,"GO:0005262","solute carrier family 24 (sodium/potassium/calcium exchanger), member 1"
"Katnal1",31.8818557064106,-2.12160273067796,0.640232788545839,-3.31379893163041,0.000920376661057013,0.00563620145236327,40,66,15,9,"GO:0000166","katanin p60 subunit A-like 1"
"Rpl13",4623.14596278626,0.472845436640106,0.142718133302433,3.31314196520566,0.000922541397316316,0.00564626607747325,3454,4329,4720,6220,"GO:0003723","ribosomal protein L13"
"Ankrd17",2507.08606474249,0.49204360750356,0.148519961546767,3.31297963168825,0.000923077020542959,0.005646354242542,1958,2200,3030,2897,"GO:0000785","ankyrin repeat domain 17"
"Dgkh",97.3841407310663,1.2296386218302,0.371319022315597,3.31154222630988,0.000927832360659492,0.00567223925678571,56,60,153,122,"GO:0004143","diacylglycerol kinase, eta"
"Ptges3",1118.68950534155,0.608212446907351,0.183674368984371,3.31136265920208,0.000928428011285451,0.00567267943951229,880,875,1442,1286,"GO:0001516","prostaglandin E synthase 3"
"Hectd1",2651.55493680687,0.469068196370337,0.141695486032698,3.31039618483043,0.000931640039381117,0.00568909613676192,2022,2437,3178,3050,"GO:0001779","HECT domain E3 ubiquitin protein ligase 1"
"Rsl1d1",932.512621023398,0.53044472853975,0.160279376114344,3.30950083160623,0.000934624884087095,0.00570410781369887,645,899,1051,1186,"GO:0000470","ribosomal L1 domain containing 1"
"Igsf3",241.164551925622,0.828247842536153,0.250276245201013,3.30933461891653,0.000935179962467206,0.00570428183187345,134,221,305,321,"GO:0003674","immunoglobulin superfamily, member 3"
"Sugt1",280.890311655862,0.778632374680472,0.23533268234423,3.30864530554892,0.000937485231857974,0.00571378601346133,162,260,350,370,"GO:0003674","SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)"
"Vps26b",482.125177141389,-0.735708228995863,0.222365529753488,-3.30855339769371,0.00093779299657844,0.00571378601346133,485,742,288,451,"GO:0005622","VPS26 retromer complex component B"
"Por",288.708502047847,0.755903019322687,0.22862060424073,3.30636436655878,0.0009451509573417,0.00575537960701666,183,251,373,361,"GO:0003420","P450 (cytochrome) oxidoreductase"
"Mettl8",39.4330573361251,-1.83187319694429,0.55408128080685,-3.30614525413443,0.00094589039388044,0.00575664642522855,54,70,18,17,"GO:0004402","methyltransferase like 8"
"Ms4a6b",888.514831958645,-0.549199677940438,0.166156770260545,-3.30531026258668,0.000948713146547462,0.00577058367015646,864,1281,683,782,"GO:0003674","membrane-spanning 4-domains, subfamily A, member 6B"
"C920021L13Rik",21.030394864633,-2.60943734168577,0.789536221065138,-3.30502549732989,0.000949677600204968,0.00577320844165007,31,42,6,6,"GO:0003674","RIKEN cDNA C920021L13 gene"
"Nuak2",722.805432245789,0.558035942718786,0.168856194727039,3.30479994305727,0.000950442160361844,0.00577461577296683,516,661,846,899,"GO:0000166","NUAK family, SNF1-like kinase, 2"
"Dzip1",84.7387922988034,-1.26497103804217,0.382937679507904,-3.3033339515394,0.000955425336347042,0.00580163826717909,95,149,50,51,"GO:0003676","DAZ interacting protein 1"
"Msh2",222.754405276782,-0.862636767597659,0.261274106685784,-3.30165426088354,0.000961164658279791,0.00583321946394676,229,357,138,184,"GO:0000166","mutS homolog 2"
"Galnt12",147.178767179136,-1.03519809149987,0.313570482005273,-3.30132506376179,0.000962293224981946,0.00583353246011719,176,222,76,121,"GO:0003674","polypeptide N-acetylgalactosaminyltransferase 12"
"Rbm17",545.514503576346,0.612771439535981,0.18560894977516,3.3014110595328,0.000961998292483638,0.00583353246011719,396,468,657,679,"GO:0000375","RNA binding motif protein 17"
"Camk2g",200.247477933928,-0.903531816349654,0.273760584325349,-3.30044523603097,0.000965315511614603,0.0058485810611415,207,325,152,130,"GO:0000082","calcium/calmodulin-dependent protein kinase II gamma"
"Gabpb1",382.066088442173,0.710534420165085,0.215380283931511,3.29897615136875,0.000970381549412036,0.00587598844314175,225,367,445,519,"GO:0003700","GA repeat binding protein, beta 1"
"Flt3l",93.2595702414701,-1.19597671103459,0.362651948354721,-3.29786374086916,0.000974233989155763,0.0058960205611868,109,154,55,60,"GO:0001934","FMS-like tyrosine kinase 3 ligand"
"Pak2",3073.17537110822,0.437309237083625,0.132652967309469,3.29664119810767,0.000978484165767682,0.00591843605123467,2261,3007,3546,3615,"GO:0000166","p21 protein (Cdc42/Rac)-activated kinase 2"
"Morf4l2",483.773215011227,0.702857700930146,0.213299510763207,3.29516789989461,0.000983628906573575,0.00594623434425867,375,352,597,616,"GO:0005634","mortality factor 4 like 2"
"Tbc1d15",1004.77391655771,0.519198600850638,0.157618340986578,3.29402401776866,0.000987640590353821,0.00596715589252813,730,932,1191,1206,"GO:0005096","TBC1 domain family, member 15"
"Naa50",641.523582057789,0.579829144697506,0.176076573201049,3.29305105248409,0.000991064772627246,0.00598341671420906,430,612,753,806,"GO:0004596","N(alpha)-acetyltransferase 50, NatE catalytic subunit"
"Tap2",321.347124807119,0.735909614063299,0.223480648702564,3.29294557866949,0.000991436629004455,0.00598341671420906,192,299,403,411,"GO:0000166","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
"Mta3",1235.69978871189,-0.520744191528264,0.158182307006554,-3.29205080759561,0.000994596416262458,0.00599914419675457,1350,1562,936,1126,"GO:0003677","metastasis associated 3"
"Cadm3",705.002240410296,-0.638172337100264,0.193878799749136,-3.29160453812387,0.000996175850935866,0.00600278337284718,637,1127,530,590,"GO:0004872","cell adhesion molecule 3"
"Oas3",424.819196705132,0.699395856019562,0.212481109153108,3.29156723064541,0.000996307994496374,0.00600278337284718,321,321,515,550,"GO:0000166","2'-5' oligoadenylate synthetase 3"
"Abce1",952.978862534501,0.519807961054233,0.157947303881773,3.2910214247362,0.00099824310228294,0.0060110992368155,689,888,1079,1199,"GO:0000054","ATP-binding cassette, sub-family E (OABP), member 1"
"Zc3h6",77.127165176594,-1.39693725587174,0.424624344407947,-3.28981904657278,0.00100251831240759,0.00603348937683968,75,157,46,40,"GO:0003674","zinc finger CCCH type containing 6"
"D17Wsu92e",653.668755883154,0.569719173877838,0.173221281355966,3.28896755305186,0.0010055561522803,0.00604841188098415,462,598,759,825,"GO:0000407","DNA segment, Chr 17, Wayne State University 92, expressed"
"Atf2",1273.09385706487,0.494353212801107,0.150358974826734,3.28781978841486,0.00100966447256444,0.00606975318051644,911,1223,1498,1518,"GO:0000122","activating transcription factor 2"
"Extl3",486.034765647048,-0.6829153248971,0.207730438394051,-3.28750726266536,0.00101078581864677,0.00607312411170299,471,752,326,434,"GO:0001888","exostoses (multiple)-like 3"
"Adam9",328.409779492423,0.725617213638188,0.220861818692492,3.28539001414486,0.00101841294239846,0.00611555842849361,208,293,427,401,"GO:0000186","a disintegrin and metallopeptidase domain 9 (meltrin gamma)"
"Ap3s2",287.858732488504,-0.747764737807575,0.227795662042454,-3.28261184213515,0.00102850177557356,0.00617272007467498,299,433,209,227,"GO:0005794","adaptor-related protein complex 3, sigma 2 subunit"
"Arl1",138.9698889136,1.00277564990928,0.305538093181383,3.28199878276381,0.00103074050056446,0.00618273080986423,79,108,169,208,"GO:0000166","ADP-ribosylation factor-like 1"
"Ctdsp2",682.372130314787,-0.65611622035318,0.199938957407771,-3.28158268333392,0.00103226255002494,0.00618843398141679,626,1088,468,611,"GO:0001933","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"
"Dnajc2",800.038557768664,0.544347135278917,0.165965217897731,3.27988684722089,0.00103848728394345,0.00622230793526515,589,717,917,1008,"GO:0003677","DnaJ heat shock protein family (Hsp40) member C2"
"Rasgrp1",724.304646988469,0.612084662674183,0.18663796657757,3.27952920779272,0.00103980446201217,0.0062249145308732,450,719,924,847,"GO:0001786","RAS guanyl releasing protein 1"
"Siglec5",22.1174456004348,2.54123160823074,0.774894079748199,3.2794567343404,0.00104007156843723,0.0062249145308732,6,7,43,33,NA,NA
"Cd5",154.837612262561,0.954406923698698,0.291132107914235,3.27826061692879,0.00104448913159011,0.00624790213280823,94,118,188,227,"GO:0005044","CD5 antigen"
"Ankrd10",313.963693438023,-0.803598323470217,0.245165910845971,-3.27777349100989,0.00104629318042333,0.00625523952733218,326,485,263,198,"GO:0003674","ankyrin repeat domain 10"
"Spns3",556.33193363452,-0.640303159876871,0.195379056648342,-3.27723539493455,0.00104828934614422,0.00626371676049659,528,857,443,438,"GO:0003376","spinster homolog 3"
"Gm19395",43.166897820528,1.87166309090355,0.571209165559893,3.27666851961131,0.00105039608482685,0.0062728449762565,22,14,79,57,NA,"predicted gene, 19395"
"Slc6a6",4155.37594282641,0.457309156561714,0.139600659910824,3.27583807163833,0.00105348944019115,0.00628785184881031,2797,4341,4628,5129,"GO:0001761","solute carrier family 6 (neurotransmitter transporter, taurine), member 6"
"Nolc1",418.020104793386,0.72833662683586,0.222427530843697,3.27448955654538,0.00105853051701457,0.00631446095309409,322,299,520,535,"GO:0005515","nucleolar and coiled-body phosphoprotein 1"
"Soat2",164.995030985995,1.11166868056498,0.339974684836884,3.26985722804138,0.00107601778214458,0.00641524525810248,107,99,280,172,"GO:0000062","sterol O-acyltransferase 2"
"Slc7a5",302.033831350206,0.737682034270127,0.225783626500492,3.26720783833508,0.00108613909730641,0.00647202686530274,207,247,348,419,"GO:0003333","solute carrier family 7 (cationic amino acid transporter, y+ system), member 5"
"Hist2h2be",151.657317558613,-0.960067303332055,0.293865788762932,-3.2670264455539,0.00108683527258929,0.00647261490267168,164,243,100,109,"GO:0000786","histone cluster 2, H2be"
"Ppm1e",69.8985514167463,-1.45446430652739,0.445229144723836,-3.26677694792321,0.00108779350468743,0.00647476210784555,97,107,47,28,"GO:0003824","protein phosphatase 1E (PP2C domain containing)"
"Dnalc1",53.0158329423275,-1.87465350698481,0.574087866832341,-3.26544700783981,0.00109291453065833,0.006501671120605,109,48,20,26,NA,NA
"Sf3b3",1363.72054434208,0.491784064730388,0.150641271157482,3.26460378986229,0.00109617293954327,0.0065174760999299,1012,1266,1625,1601,"GO:0000398","splicing factor 3b, subunit 3"
"Atp5j",591.133846754665,0.611859172066493,0.187488383376871,3.26345110585647,0.00110064173997012,0.00654045637361287,386,563,643,811,"GO:0000276","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F"
"Homer1",119.158861292449,1.16503246279666,0.35703639595451,3.26306358678653,0.00110214787910765,0.00654581577542391,80,64,179,153,"GO:0003009","homer scaffolding protein 1"
"Aldh3a2",399.938352524855,-0.662282460282967,0.202978439635481,-3.26282171383487,0.00110308891301795,0.00654781490121836,435,551,288,341,"GO:0000302","aldehyde dehydrogenase family 3, subfamily A2"
"Tcirg1",1812.37171519035,-0.482311010783455,0.14783064728798,-3.2625914831036,0.0011039853417188,0.00654954721075561,1977,2241,1457,1610,"GO:0005739","T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3"
"Pigb",81.252865904047,-1.31958027280607,0.404539184099414,-3.26193438033381,0.00110654755009109,0.00656115468535129,98,137,35,60,"GO:0000030","phosphatidylinositol glycan anchor biosynthesis, class B"
"Fam178a",1311.14831459407,0.517281012122924,0.158595129682914,3.26164500232224,0.00110767765053558,0.00656426257563017,927,1251,1634,1486,NA,NA
"Ppp3r1",2422.31395072291,0.445652756479354,0.13666962618214,3.26080321523257,0.00111097113037468,0.00658018056607376,1781,2356,2817,2840,"GO:0001569","protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)"
"Agpat3",265.677749132621,-0.764060199607467,0.234364883708144,-3.26013090151746,0.00111360804934498,0.00659219453472904,296,377,182,218,"GO:0003841","1-acylglycerol-3-phosphate O-acyltransferase 3"
"Tmco6",113.359355816744,-1.10777524051909,0.339847594450247,-3.25962360366587,0.00111560157988831,0.00660038881208633,142,168,79,66,"GO:0005575","transmembrane and coiled-coil domains 6"
"Donson",375.446798864612,0.677975436234078,0.208287468696605,3.25499868271782,0.00113392891794463,0.00670515937123045,253,329,425,514,"GO:0003674","downstream neighbor of SON"
"Cse1l",1319.587417924,0.509165195979547,0.156433638300149,3.25483189876727,0.00113459500903137,0.00670543793389899,873,1345,1515,1629,"GO:0005049","chromosome segregation 1-like (S. cerevisiae)"
"Tgds",96.419832666892,-1.16094710237688,0.356724857122698,-3.25446090788556,0.00113607794603276,0.00671054110652828,115,154,56,65,"GO:0003674","TDP-glucose 4,6-dehydratase"
"Tob2",1356.11522171634,0.564703300507887,0.173589573047713,3.25309458738443,0.00114155491159276,0.00673921763339749,1048,1130,1397,1898,"GO:0003714","transducer of ERBB2, 2"
"Uba6",673.001332538391,0.566738563428787,0.174336214460263,3.25083669611265,0.00115065930423395,0.00678926592743267,489,600,808,819,"GO:0000166","ubiquitin-like modifier activating enzyme 6"
"Ppcdc",172.385835671622,-0.915590718480617,0.281734346788668,-3.24983705010384,0.00115471152624907,0.00680946650182698,184,274,108,135,"GO:0003824","phosphopantothenoylcysteine decarboxylase"
"3110002H16Rik",265.923635374562,-0.760105850171358,0.234033072076705,-3.24785656756338,0.00116277870009994,0.00685330884558362,282,395,186,215,"GO:0005765","RIKEN cDNA 3110002H16 gene"
"Atp6v1f",320.517910888504,0.745179983913063,0.229587510664327,3.24573397636845,0.00117148253352864,0.0069008538802152,198,288,348,470,"GO:0006810","ATPase, H+ transporting, lysosomal V1 subunit F"
"Fam126b",207.762265386331,-0.860324099870263,0.265277606045118,-3.24310865397338,0.00118233112803048,0.00695652603658246,210,337,152,147,"GO:0003674","family with sequence similarity 126, member B"
"Pa2g4",1300.85429760825,0.532341227794741,0.164138308961731,3.24324791185011,0.0011817533506213,0.00695652603658246,836,1335,1418,1709,"GO:0003677","proliferation-associated 2G4"
"Shprh",470.176765774529,-0.688269890768271,0.212233692838051,-3.2429812701486,0.00118285986886226,0.00695652603658246,467,714,398,329,"GO:0000166","SNF2 histone linker PHD RING helicase"
"Plekhb2",525.219272457193,0.599916784475069,0.185130307760172,3.24051092299935,0.00119315700852391,0.0070132771966031,356,488,624,659,"GO:0005547","pleckstrin homology domain containing, family B (evectins) member 2"
"1110020G09Rik",131.311990882444,-1.04341029165058,0.32219709276961,-3.23842242858684,0.00120192700942934,0.00705716818056803,162,192,96,77,NA,NA
"Arid5b",317.252363753324,-0.706193652440974,0.218060486896143,-3.23852185461421,0.00120150815352858,0.00705716818056803,350,441,233,256,"GO:0000122","AT rich interactive domain 5B (MRF1-like)"
"Crebl2",154.569024963548,-0.956763143226846,0.295494854652145,-3.23783351271257,0.00120441072524764,0.00706409387471994,176,236,91,123,"GO:0003677","cAMP responsive element binding protein-like 2"
"Ddx24",718.348544785023,0.63515604996307,0.196163495380638,3.23789117200733,0.0012041673415709,0.00706409387471994,572,539,824,949,"GO:0000166","DEAD (Asp-Glu-Ala-Asp) box polypeptide 24"
"Mst1",99.8924790188603,-1.18073684762818,0.364762493705314,-3.23700179707093,0.00120792651081412,0.00708088089374966,102,183,63,61,"GO:0004252","macrophage stimulating 1 (hepatocyte growth factor-like)"
"Lrrc61",208.464290354809,-0.848842510731187,0.26228856050667,-3.23629253632508,0.00121093214812716,0.00709466087650706,229,313,130,173,"GO:0003674","leucine rich repeat containing 61"
"Kdm3b",2741.74992359528,-0.43228336874914,0.133624107254586,-3.23507021023936,0.001216128221461,0.00711740519885846,2789,3547,2321,2408,"GO:0000785","KDM3B lysine (K)-specific demethylase 3B"
"Rps6kb1",961.842803342071,0.52700622827305,0.162902751302154,3.23509716110044,0.00121601343242803,0.00711740519885846,658,939,1160,1139,"GO:0000082","ribosomal protein S6 kinase, polypeptide 1"
"Cd300lb",68.046636228166,-1.40848589311212,0.435658199901215,-3.2330067319552,0.00122494676067755,0.00715741545761591,74,129,31,45,"GO:0002376","CD300 molecule like family member B"
"Chek2",111.66101637526,-1.17314642720857,0.362855080567556,-3.23309908014409,0.001224550839764,0.00715741545761591,127,187,84,54,"GO:0000077","checkpoint kinase 2"
"Tgs1",1115.97219162673,-0.500895581000933,0.154920845029066,-3.23323553332642,0.00122396604550802,0.00715741545761591,1151,1482,938,933,"GO:0001510","trimethylguanosine synthase 1"
"Slc25a40",76.3179241037455,-1.35469730018235,0.419153149415792,-3.23198645189832,0.00122932884455762,0.00717914791002303,76,151,45,42,"GO:0005739","solute carrier family 25, member 40"
"Mtap1s",272.328166286131,0.810272392205562,0.2507217444639,3.23175955056515,0.00123030534740473,0.00718097943342424,150,255,302,405,NA,NA
"Dlgap3",30.7906212460946,2.14808488579335,0.66472265700446,3.23155057700844,0.00123120532911291,0.0071823625903501,14,8,43,59,"GO:0001540","DLG associated protein 3"
"Eif4e3",272.187253168383,-0.754244366995399,0.233476109727247,-3.2304991199165,0.00123574284855474,0.00720495278707938,294,396,210,200,"GO:0003674","eukaryotic translation initiation factor 4E member 3"
"Hist1h2ac",107.98802838563,-1.17960477066821,0.365166137006059,-3.230323546262,0.00123650203233788,0.00720550108462415,147,150,78,55,"GO:0000790","histone cluster 1, H2ac"
"Tspan33",340.404333662005,0.715716074514524,0.221611596292734,3.22959667493713,0.00123964962260076,0.00721995933421186,204,321,434,423,"GO:0005886","tetraspanin 33"
"Top2a",2029.81746156265,0.605456037683706,0.187713956593273,3.22541833687716,0.00125788716065219,0.007322241596639,1107,2228,2441,2524,"GO:0000166","topoisomerase (DNA) II alpha"
"Pgam1",249.910228411423,0.777677217299045,0.241399906746614,3.22153072791091,0.00127507788775483,0.00741832371538562,169,200,293,348,"GO:0003824","phosphoglycerate mutase 1"
"N4bp1",1145.64943383077,0.493742943376404,0.153331675913908,3.22009748105556,0.00128147013174909,0.00745047155714164,816,1106,1344,1370,"GO:0003723","NEDD4 binding protein 1"
"Nemf",1232.96005649292,0.50300653876415,0.156227975468056,3.21969568674978,0.00128326742536255,0.00745047155714164,946,1094,1456,1471,"GO:0003674","nuclear export mediator factor"
"Ube2e2",606.50407527742,-0.591785174253683,0.183802697423126,-3.21967622102604,0.00128335455789036,0.00745047155714164,608,870,503,476,"GO:0000166","ubiquitin-conjugating enzyme E2E 2"
"Zmat3",300.877710689748,-0.746521653016617,0.231848776594467,-3.21986453403797,0.00128251185973517,0.00745047155714164,350,404,198,259,"GO:0002039","zinc finger matrin type 3"
"Slc12a4",96.8714663764829,1.15722954426964,0.359521956371099,3.2188007540634,0.0012872789762127,0.00746925182073498,48,74,124,148,"GO:0005215","solute carrier family 12, member 4"
"Mex3c",380.409845876139,0.674846799957251,0.20972464237522,3.21777542359508,0.00129188926359347,0.00749198950348398,254,337,489,457,"GO:0003415","mex3 RNA binding family member C"
"BC017158",42.1543745904767,-1.75352643107829,0.545154046932175,-3.216570510567,0.00129732650006571,0.00751949597389614,67,61,19,20,"GO:0003674","cDNA sequence BC017158"
"D2hgdh",103.61272727972,-1.13156903444216,0.351868508002603,-3.21588607308327,0.0013004244603634,0.00752939507168181,134,150,57,75,"GO:0003824","D-2-hydroxyglutarate dehydrogenase"
"Hyal2",38.2930815292592,1.81040173265093,0.562936521382763,3.21599623382751,0.00129992538066946,0.00752939507168181,16,18,55,66,"GO:0000139","hyaluronoglucosaminidase 2"
"Agl",268.408145880022,-0.858031910051858,0.266934747596991,-3.21438822699578,0.0013072279760198,0.00756474394456327,236,481,182,206,"GO:0004133","amylo-1,6-glucosidase, 4-alpha-glucanotransferase"
"Arhgef6",2552.59841483663,-0.437624468290017,0.136158497104233,-3.21408121855961,0.00130862651972415,0.00756879396058284,2543,3383,2029,2375,"GO:0005085","Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6"
"Sort1",987.590153994679,-0.502244310967635,0.156536644285598,-3.20847756293601,0.00133439720515293,0.00771372728037446,1006,1329,804,853,"GO:0001503","sortilin 1"
"Cab39",1008.30443444515,0.520160629073927,0.162136792844287,3.20815911027351,0.00133587570691149,0.0077181554842518,771,885,1188,1218,"GO:0004674","calcium binding protein 39"
"4930420K17Rik",198.405980910785,0.853462522327234,0.266190297065174,3.20621199095876,0.00134494865112055,0.00776643322899194,112,176,242,277,NA,NA
"Mut",144.095745515999,-0.956638527433945,0.298407677650225,-3.20581070489499,0.00134682556500471,0.0077731280477869,164,220,92,107,"GO:0003824","methylmalonyl-Coenzyme A mutase"
"Zc3h11a",1897.76442286289,0.490588164930778,0.153069781799038,3.20499682670783,0.00135063969641006,0.00779099032545805,1512,1629,2209,2282,"GO:0000346","zinc finger CCCH type containing 11A"
"Guf1",184.334967153195,-0.896345634387118,0.279696749714689,-3.2047052220001,0.00135200868577877,0.00779473661151749,210,273,143,117,"GO:0000166","GUF1 homolog, GTPase"
"Zfp456",153.400476503619,0.929102445310277,0.289953585393509,3.20431438724701,0.00135384553551911,0.00780117483312685,92,121,195,213,"GO:0003700","zinc finger protein 456"
"Atp5h",986.369105379276,0.529939931538615,0.165594424921987,3.20022809818794,0.00137318866027917,0.00790842783455832,664,975,1064,1306,"GO:0000274","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit D"
"Heatr5a",653.620242069351,-0.558496490121956,0.174560136890266,-3.19945034457119,0.00137689903600357,0.00792558302711298,657,919,519,553,"GO:0003674","HEAT repeat containing 5A"
"Arhgap5",223.408999829332,-0.924547305881974,0.289081264457823,-3.19822631057041,0.00138275718183118,0.00794987127575794,237,358,188,122,"GO:0002053","Rho GTPase activating protein 5"
"Kcnn4",47.6522941557674,1.68987974347695,0.528388023464537,3.19817949770462,0.00138298168079559,0.00794987127575794,13,34,71,77,"GO:0002376","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"
"Sema6b",24.0809428772842,2.39804792679603,0.749833098123875,3.19810892956857,0.00138332016567929,0.00794987127575794,4,12,44,38,"GO:0005886","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
"Slc29a3",853.842850353757,-0.521222442232968,0.162997242890665,-3.19773778371572,0.0013851016500315,0.00795588874591261,860,1174,699,722,"GO:0005337","solute carrier family 29 (nucleoside transporters), member 3"
"4632415L05Rik",51.7737122342044,-1.69857467473892,0.531275402966739,-3.19716415488798,0.00138785920655179,0.0079590676466784,48,118,18,32,"GO:0003674","RRS1 ribosome biogenesis regulator homolog pseudogene"
"Pde4a",193.268480270987,-0.873885011252185,0.273324773572473,-3.19724041048358,0.00138749233803902,0.0079590676466784,201,308,146,130,"GO:0004114","phosphodiesterase 4A, cAMP specific"
"Rps24",6602.76547987577,0.439743584118407,0.137533539194666,3.19735525380461,0.0013869399913045,0.0079590676466784,4959,6317,6742,8727,"GO:0000462","ribosomal protein S24"
"Zmym6",220.428446380981,-0.81466863872179,0.254834993616757,-3.19684760385365,0.00138938310201922,0.00796359108157366,250,315,169,154,"GO:0000981","zinc finger, MYM-type 6"
"Tbc1d30",135.829116357795,0.979377676967943,0.306542995854185,3.19491128557316,0.00139873828977439,0.00801297297362557,77,108,171,195,"GO:0005096","TBC1 domain family, member 30"
"Dnajc8",917.514465771356,0.526401996431206,0.164799737797241,3.19419195362347,0.00140222846434197,0.00802872143457534,642,878,988,1214,"GO:0005634","DnaJ heat shock protein family (Hsp40) member C8"
"Cdk17",935.114771413996,0.60726084597588,0.19015407997271,3.19351993953026,0.00140549630765193,0.00804318093016024,625,875,1282,993,"GO:0000166","cyclin-dependent kinase 17"
"Eif3b",425.212667181194,0.632236349620067,0.198306836586214,3.18817223099215,0.00143175228457485,0.00818910902787718,299,371,516,531,"GO:0003676","eukaryotic translation initiation factor 3, subunit B"
"Ctso",553.168025871111,-0.601322436703383,0.188660057632097,-3.18733304892768,0.00143591327510477,0.00820857441119257,535,823,426,466,"GO:0004197","cathepsin O"
"Galnt1",1610.54347878663,-0.45381122575955,0.142418937526928,-3.18645282460239,0.00144028974499302,0.00822925042590158,1624,2129,1330,1426,"GO:0004653","polypeptide N-acetylgalactosaminyltransferase 1"
"Psmd8",564.743857446329,0.604062377724645,0.189599109666886,3.1859979658446,0.00144255611523641,0.00823351443432877,425,469,635,748,"GO:0000502","proteasome (prosome, macropain) 26S subunit, non-ATPase, 8"
"Vmn2r90",22.9833646842482,2.55556500091317,0.802107737398896,3.18606202353869,0.00144223674389294,0.00823351443432877,3,11,50,29,"GO:0003674","vomeronasal 2, receptor 90"
"Kpna1",655.172924347511,0.562573519878205,0.176721230802905,3.18339521132939,0.00145558789067155,0.00830351954694307,466,599,802,779,"GO:0005515","karyopherin (importin) alpha 1"
"AI504432",229.781566170158,0.882967531335101,0.277497178178631,3.1818973336252,0.00146313674173233,0.00834023660306053,121,210,339,262,NA,"expressed sequence AI504432"
"Atxn2l",2391.15353080787,0.495288221595599,0.155662278216236,3.18181275046981,0.00146356408957981,0.00834023660306053,1920,2024,2878,2781,"GO:0003723","ataxin 2-like"
"Gatc",148.945969417905,-0.981243125664915,0.308595320291977,-3.17970837903994,0.00147423331573996,0.00839220678371569,167,233,114,88,"GO:0000166","glutamyl-tRNA(Gln) amidotransferase, subunit C"
"Psma2",790.297976940486,0.557146368005543,0.175215927472386,3.17977010448066,0.00147391934830187,0.00839220678371569,521,779,855,1059,"GO:0000502","proteasome (prosome, macropain) subunit, alpha type 2"
"Ggcx",74.1362423884243,-1.28990504152556,0.40574519796571,-3.17910118959577,0.00147732508108702,0.00840539002280236,92,120,46,41,"GO:0005783","gamma-glutamyl carboxylase"
